coordinates,name,description,htmldescription,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity,severitytext,source,iso3,eventtype,GDACS ID,People affected,Countries,Start Date - Last detection,Duration (days),Burned area
"[125.70820375501069, 65.6050202878333]",Forest fires in Russian Federation,Forest fires in Russian Federation,Green Forest fires in Russian Federation from: 24 Jul 2021 to: 06 Aug 2021.,Green,1,GREEN,1.0,Russian Federation,2021-07-24T00:00:00,2021-08-06T00:00:00,15883.0,Green impact for forestfire in 15883 ha,GWIS,RUS,WF,WF 1001279,0 in the burned area,Russian Federation,24 Jul 2021  - 06 Aug 2021 ,13,15883 ha
"[-55.30387493491835, -6.192967924866914]",Forest fires in Brazil,Forest fires in Brazil,Green Forest fires in Brazil from: 29 Jul 2021 to: 06 Aug 2021.,Green,1,GREEN,1.0,Brazil,2021-07-29T00:00:00,2021-08-06T00:00:00,6675.0,Green impact for forestfire in 6675 ha,GWIS,BRA,WF,WF 1001306,0 in the burned area,Brazil,29 Jul 2021  - 06 Aug 2021 ,8,6675 ha
"[31.42344063335528, 36.944316350879184]",Forest fires in Türkiye,Forest fires in Türkiye,Green Forest fires in Türkiye from: 28 Jul 2021 to: 06 Aug 2021.,Green,1,Green,1.0,Türkiye,2021-07-28T00:00:00,2021-08-06T00:00:00,35438.0,Green impact for forestfire in 35438 ha,GWIS,TUR,WF,WF 1001229,2613 in the burned area,Türkiye,28 Jul 2021  - 06 Aug 2021 ,9,35438 ha
"[28.80965073402652, 36.99305896345094]",Forest fires in Türkiye,Forest fires in Türkiye,Green Forest fires in Türkiye from: 29 Jul 2021 to: 06 Aug 2021.,Green,1,GREEN,1.0,Türkiye,2021-07-29T00:00:00,2021-08-06T00:00:00,8860.0,Green impact for forestfire in 8860 ha,GWIS,TUR,WF,WF 1001309,629 in the burned area,Türkiye,29 Jul 2021  - 06 Aug 2021 ,8,8860 ha
"[19.450367782065417, 40.2728513767302]",Forest fires in Albania,Forest fires in Albania,Green Forest fires in Albania from: 26 Jul 2021 to: 06 Aug 2021.,Green,1,GREEN,1.0,Albania,2021-07-26T00:00:00,2021-08-06T00:00:00,5935.0,Green impact for forestfire in 5935 ha,GWIS,ALB,WF,WF 1001326,231 in the burned area,Albania,26 Jul 2021  - 06 Aug 2021 ,11,5935 ha
"[130.98957206873754, 64.0010830232885]",Forest fires in Russian Federation,Forest fires in Russian Federation,Green Forest fires in Russian Federation from: 25 Jul 2021 to: 06 Aug 2021.,Green,1,GREEN,1.0,Russian Federation,2021-07-25T00:00:00,2021-08-06T00:00:00,8844.0,Green impact for forestfire in 8844 ha,GWIS,RUS,WF,WF 1001330,0 in the burned area,Russian Federation,25 Jul 2021  - 06 Aug 2021 ,12,8844 ha
"[127.69743666478209, 63.938687068523684]",Forest fires in Russian Federation,Forest fires in Russian Federation,Green Forest fires in Russian Federation from: 24 Jul 2021 to: 06 Aug 2021.,Green,1,GREEN,1.0,Russian Federation,2021-07-24T00:00:00,2021-08-06T00:00:00,8605.0,Green impact for forestfire in 8605 ha,GWIS,RUS,WF,WF 1001333,0 in the burned area,Russian Federation,24 Jul 2021  - 06 Aug 2021 ,13,8605 ha
"[16.15857116541402, -7.427635847928054]",Forest fires in Angola,Forest fires in Angola,Green Forest fires in Angola from: 22 Jul 2021 to: 05 Aug 2021.,Green,1,GREEN,1.0,Angola,2021-07-22T00:00:00,2021-08-05T00:00:00,8579.0,Green impact for forestfire in 8579 ha,GWIS,AGO,WF,WF 1001346,0 in the burned area,Angola,22 Jul 2021  - 05 Aug 2021 ,14,8579 ha
"[18.735827881330025, -2.955852133500747]",Forest fires in The Democratic Republic of Congo,Forest fires in The Democratic Republic of Congo,Green Forest fires in The Democratic Republic of Congo from: 19 Jul 2021 to: 05 Aug 2021.,Green,1,GREEN,1.0,The Democratic Republic of Congo,2021-07-19T00:00:00,2021-08-05T00:00:00,8227.0,Green impact for forestfire in 8227 ha,GWIS,COD,WF,WF 1001373,1008 in the burned area,The Democratic Republic of Congo,19 Jul 2021  - 05 Aug 2021 ,17,8227 ha
"[16.19993672278807, -14.979888167452598]",Forest fires in Angola,Forest fires in Angola,Green Forest fires in Angola from: 19 Jul 2021 to: 05 Aug 2021.,Green,1,GREEN,1.0,Angola,2021-07-19T00:00:00,2021-08-05T00:00:00,10728.0,Green impact for forestfire in 10728 ha,GWIS,AGO,WF,WF 1001374,0 in the burned area,Angola,19 Jul 2021  - 05 Aug 2021 ,17,10728 ha
"[21.24472809866786, -4.500480141789887]",Forest fires in The Democratic Republic of Congo,Forest fires in The Democratic Republic of Congo,Green Forest fires in The Democratic Republic of Congo from: 17 Jul 2021 to: 05 Aug 2021.,Green,1,GREEN,1.0,The Democratic Republic of Congo,2021-07-17T00:00:00,2021-08-05T00:00:00,7217.0,Green impact for forestfire in 7217 ha,GWIS,COD,WF,WF 1001403,0 in the burned area,The Democratic Republic of Congo,17 Jul 2021  - 05 Aug 2021 ,19,7217 ha
"[128.26419053298966, 64.22471331382025]",Forest fires in Russian Federation,Forest fires in Russian Federation,Green Forest fires in Russian Federation from: 17 Jul 2021 to: 05 Aug 2021.,Green,1,GREEN,1.0,Russian Federation,2021-07-17T00:00:00,2021-08-05T00:00:00,14438.0,Green impact for forestfire in 14438 ha,GWIS,RUS,WF,WF 1001285,0 in the burned area,Russian Federation,17 Jul 2021  - 05 Aug 2021 ,19,14438 ha
"[28.19234461997027, 36.76858021941344]",Forest fires in Türkiye,Forest fires in Türkiye,Green Forest fires in Türkiye from: 29 Jul 2021 to: 05 Aug 2021.,Green,1,GREEN,1.0,Türkiye,2021-07-29T00:00:00,2021-08-05T00:00:00,12893.0,Green impact for forestfire in 12893 ha,GWIS,TUR,WF,WF 1001252,8407 in the burned area,Türkiye,29 Jul 2021  - 05 Aug 2021 ,7,12893 ha
"[21.64439374954724, -12.581033735510342]",Forest fires in Angola,Forest fires in Angola,GREEN Forest fires in Angola from: 24 Jul 2021 to: 05 Aug 2021.,GREEN,1,GREEN,1.0,Angola,2021-07-24T00:00:00,2021-08-05T00:00:00,5098.0,Green impact for forestfire in 5098 ha,GWIS,AGO,WF,WF 1001550,0 in the burned area,Angola,24 Jul 2021  - 05 Aug 2021 ,12,5098 ha
"[21.784925771050663, -5.773441540864122]",Forest fires in The Democratic Republic of Congo,Forest fires in The Democratic Republic of Congo,Green Forest fires in The Democratic Republic of Congo from: 18 Jul 2021 to: 05 Aug 2021.,Green,1,GREEN,1.0,The Democratic Republic of Congo,2021-07-18T00:00:00,2021-08-05T00:00:00,6137.0,Green impact for forestfire in 6137 ha,GWIS,COD,WF,WF 1001484,69 in the burned area,The Democratic Republic of Congo,18 Jul 2021  - 05 Aug 2021 ,18,6137 ha
"[13.787679914761291, -7.553878926872471]",Forest fires in Angola,Forest fires in Angola,Green Forest fires in Angola from: 16 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Angola,2021-07-16T00:00:00,2021-08-04T00:00:00,8371.0,Green impact for forestfire in 8371 ha,GWIS,AGO,WF,WF 1001488,62 in the burned area,Angola,16 Jul 2021  - 04 Aug 2021 ,19,8371 ha
"[21.422357391615066, -6.299333069695692]",Forest fires in The Democratic Republic of Congo,Forest fires in The Democratic Republic of Congo,Green Forest fires in The Democratic Republic of Congo from: 16 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,The Democratic Republic of Congo,2021-07-16T00:00:00,2021-08-04T00:00:00,17022.0,Green impact for forestfire in 17022 ha,GWIS,COD,WF,WF 1001492,13373 in the burned area,The Democratic Republic of Congo,16 Jul 2021  - 04 Aug 2021 ,19,17022 ha
"[-63.54176010931607, -10.59953482941736]",Forest fires in Brazil,Forest fires in Brazil,Green Forest fires in Brazil from: 29 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Brazil,2021-07-29T00:00:00,2021-08-04T00:00:00,6381.0,Green impact for forestfire in 6381 ha,GWIS,BRA,WF,WF 1001469,342 in the burned area,Brazil,29 Jul 2021  - 04 Aug 2021 ,6,6381 ha
"[18.87127013081853, -4.466857016887612]",Forest fires in The Democratic Republic of Congo,Forest fires in The Democratic Republic of Congo,Green Forest fires in The Democratic Republic of Congo from: 26 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,The Democratic Republic of Congo,2021-07-26T00:00:00,2021-08-04T00:00:00,5854.0,Green impact for forestfire in 5854 ha,GWIS,COD,WF,WF 1001475,1719 in the burned area,The Democratic Republic of Congo,26 Jul 2021  - 04 Aug 2021 ,9,5854 ha
"[32.11515525217533, -5.404477814635675]",Forest fires in Tanzania,Forest fires in Tanzania,GREEN Forest fires in Tanzania from: 24 Jul 2021 to: 04 Aug 2021.,GREEN,1,GREEN,1.0,Tanzania,2021-07-24T00:00:00,2021-08-04T00:00:00,6627.0,Green impact for forestfire in 6627 ha,GWIS,TZA,WF,WF 1001476,8 in the burned area,Tanzania,24 Jul 2021  - 04 Aug 2021 ,11,6627 ha
"[133.4643075842453, -14.162408151799443]",Forest fires in Australia,Forest fires in Australia,GREEN Forest fires in Australia from: 23 Jul 2021 to: 04 Aug 2021.,GREEN,1,GREEN,1.0,Australia,2021-07-23T00:00:00,2021-08-04T00:00:00,17720.0,Green impact for forestfire in 17720 ha,GWIS,AUS,WF,WF 1001480,0 in the burned area,Australia,23 Jul 2021  - 04 Aug 2021 ,12,17720 ha
"[25.674397570445016, -6.062190389796314]",Forest fires in The Democratic Republic of Congo,Forest fires in The Democratic Republic of Congo,Green Forest fires in The Democratic Republic of Congo from: 20 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,The Democratic Republic of Congo,2021-07-20T00:00:00,2021-08-04T00:00:00,9676.0,Green impact for forestfire in 9676 ha,GWIS,COD,WF,WF 1001481,0 in the burned area,The Democratic Republic of Congo,20 Jul 2021  - 04 Aug 2021 ,15,9676 ha
"[118.62011210650302, 63.151206587418386]",Forest fires in Russian Federation,Forest fires in Russian Federation,GREEN Forest fires in Russian Federation from: 29 Jul 2021 to: 04 Aug 2021.,GREEN,1,GREEN,1.0,Russian Federation,2021-07-29T00:00:00,2021-08-04T00:00:00,6451.0,Green impact for forestfire in 6451 ha,GWIS,RUS,WF,WF 1001511,0 in the burned area,Russian Federation,29 Jul 2021  - 04 Aug 2021 ,6,6451 ha
"[118.88141125421164, 63.072086312229416]",Forest fires in Russian Federation,Forest fires in Russian Federation,GREEN Forest fires in Russian Federation from: 28 Jul 2021 to: 04 Aug 2021.,GREEN,1,GREEN,1.0,Russian Federation,2021-07-28T00:00:00,2021-08-04T00:00:00,5387.0,Green impact for forestfire in 5387 ha,GWIS,RUS,WF,WF 1001512,0 in the burned area,Russian Federation,28 Jul 2021  - 04 Aug 2021 ,7,5387 ha
"[-58.90671298257979, -10.368473131941618]",Forest fires in Brazil,Forest fires in Brazil,GREEN Forest fires in Brazil from: 24 Jul 2021 to: 04 Aug 2021.,GREEN,1,GREEN,1.0,Brazil,2021-07-24T00:00:00,2021-08-04T00:00:00,5626.0,Green impact for forestfire in 5626 ha,GWIS,BRA,WF,WF 1001513,1 in the burned area,Brazil,24 Jul 2021  - 04 Aug 2021 ,11,5626 ha
"[119.40301754834871, 63.2652811808734]",Forest fires in Russian Federation,Forest fires in Russian Federation,Green Forest fires in Russian Federation from: 26 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Russian Federation,2021-07-26T00:00:00,2021-08-04T00:00:00,15364.0,Green impact for forestfire in 15364 ha,GWIS,RUS,WF,WF 1001253,0 in the burned area,Russian Federation,26 Jul 2021  - 04 Aug 2021 ,9,15364 ha
"[116.94426266788642, 62.88843606356488]",Forest fires in Russian Federation,Forest fires in Russian Federation,Green Forest fires in Russian Federation from: 26 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Russian Federation,2021-07-26T00:00:00,2021-08-04T00:00:00,20954.0,Green impact for forestfire in 20954 ha,GWIS,RUS,WF,WF 1001254,0 in the burned area,Russian Federation,26 Jul 2021  - 04 Aug 2021 ,9,20954 ha
"[-115.89970839914166, 48.578411992985465]",Forest fires in United States,Forest fires in United States,Green Forest fires in United States from: 17 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,United States,2021-07-17T00:00:00,2021-08-04T00:00:00,6022.0,Green impact for forestfire in 6022 ha,GWIS,USA,WF,WF 1001259,9 in the burned area,United States,17 Jul 2021  - 04 Aug 2021 ,18,6022 ha
"[-98.01111298549438, 56.443396303993794]",Forest fires in Canada,Forest fires in Canada,Green Forest fires in Canada from: 17 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Canada,2021-07-17T00:00:00,2021-08-04T00:00:00,10422.0,Green impact for forestfire in 10422 ha,GWIS,CAN,WF,WF 1001286,0 in the burned area,Canada,17 Jul 2021  - 04 Aug 2021 ,18,10422 ha
"[106.86770167704246, 62.10352811091016]",Forest fires in Russian Federation,Forest fires in Russian Federation,Green Forest fires in Russian Federation from: 23 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Russian Federation,2021-07-23T00:00:00,2021-08-04T00:00:00,6115.0,Green impact for forestfire in 6115 ha,GWIS,RUS,WF,WF 1001282,0 in the burned area,Russian Federation,23 Jul 2021  - 04 Aug 2021 ,12,6115 ha
"[-106.6164914424907, 59.169801158235195]",Forest fires in Canada,Forest fires in Canada,Green Forest fires in Canada from: 21 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Canada,2021-07-21T00:00:00,2021-08-04T00:00:00,11201.0,Green impact for forestfire in 11201 ha,GWIS,CAN,WF,WF 1001283,0 in the burned area,Canada,21 Jul 2021  - 04 Aug 2021 ,14,11201 ha
"[-105.38291562625294, 59.48983314187278]",Forest fires in Canada,Forest fires in Canada,Green Forest fires in Canada from: 18 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Canada,2021-07-18T00:00:00,2021-08-04T00:00:00,14728.0,Green impact for forestfire in 14728 ha,GWIS,CAN,WF,WF 1001284,0 in the burned area,Canada,18 Jul 2021  - 04 Aug 2021 ,17,14728 ha
"[118.35324891987732, 63.85265391582594]",Forest fires in Russian Federation,Forest fires in Russian Federation,Green Forest fires in Russian Federation from: 24 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Russian Federation,2021-07-24T00:00:00,2021-08-04T00:00:00,6176.0,Green impact for forestfire in 6176 ha,GWIS,RUS,WF,WF 1001280,0 in the burned area,Russian Federation,24 Jul 2021  - 04 Aug 2021 ,11,6176 ha
"[122.90479383247616, 64.26247323973003]",Forest fires in Russian Federation,Forest fires in Russian Federation,Green Forest fires in Russian Federation from: 24 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Russian Federation,2021-07-24T00:00:00,2021-08-04T00:00:00,24409.0,Green impact for forestfire in 24409 ha,GWIS,RUS,WF,WF 1001277,0 in the burned area,Russian Federation,24 Jul 2021  - 04 Aug 2021 ,11,24409 ha
"[113.07150814682454, 62.29489747650744]",Forest fires in Russian Federation,Forest fires in Russian Federation,Green Forest fires in Russian Federation from: 24 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Russian Federation,2021-07-24T00:00:00,2021-08-04T00:00:00,8383.0,Green impact for forestfire in 8383 ha,GWIS,RUS,WF,WF 1001278,0 in the burned area,Russian Federation,24 Jul 2021  - 04 Aug 2021 ,11,8383 ha
"[107.58502240025726, 59.340573553585266]",Forest fires in Russian Federation,Forest fires in Russian Federation,Green Forest fires in Russian Federation from: 26 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Russian Federation,2021-07-26T00:00:00,2021-08-04T00:00:00,9980.0,Green impact for forestfire in 9980 ha,GWIS,RUS,WF,WF 1001273,0 in the burned area,Russian Federation,26 Jul 2021  - 04 Aug 2021 ,9,9980 ha
"[118.90829252157916, 63.24445361017618]",Forest fires in Russian Federation,Forest fires in Russian Federation,Green Forest fires in Russian Federation from: 26 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Russian Federation,2021-07-26T00:00:00,2021-08-04T00:00:00,14294.0,Green impact for forestfire in 14294 ha,GWIS,RUS,WF,WF 1001274,0 in the burned area,Russian Federation,26 Jul 2021  - 04 Aug 2021 ,9,14294 ha
"[-96.40133780213077, 57.18808135701722]",Forest fires in Canada,Forest fires in Canada,Green Forest fires in Canada from: 29 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Canada,2021-07-29T00:00:00,2021-08-04T00:00:00,14482.0,Green impact for forestfire in 14482 ha,GWIS,CAN,WF,WF 1001269,0 in the burned area,Canada,29 Jul 2021  - 04 Aug 2021 ,6,14482 ha
"[144.36318952382797, -15.846476539413302]",Forest fires in Australia,Forest fires in Australia,Green Forest fires in Australia from: 29 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Australia,2021-07-29T00:00:00,2021-08-04T00:00:00,13751.0,Green impact for forestfire in 13751 ha,GWIS,AUS,WF,WF 1001307,0 in the burned area,Australia,29 Jul 2021  - 04 Aug 2021 ,6,13751 ha
"[-123.0679522400297, 40.34270536268026]",Forest fires in United States,Forest fires in United States,Green Forest fires in United States from: 30 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,United States,2021-07-30T00:00:00,2021-08-04T00:00:00,11909.0,Green impact for forestfire in 11909 ha,GWIS,USA,WF,WF 1001302,0 in the burned area,United States,30 Jul 2021  - 04 Aug 2021 ,5,11909 ha
"[135.4405163469979, -13.71755103402262]",Forest fires in Australia,Forest fires in Australia,GREEN Forest fires in Australia from: 30 Jul 2021 to: 04 Aug 2021.,GREEN,1,GREEN,1.0,Australia,2021-07-30T00:00:00,2021-08-04T00:00:00,6111.0,Green impact for forestfire in 6111 ha,GWIS,AUS,WF,WF 1001303,0 in the burned area,Australia,30 Jul 2021  - 04 Aug 2021 ,5,6111 ha
"[105.90546067663713, 58.676396559595]",Forest fires in Russian Federation,Forest fires in Russian Federation,Green Forest fires in Russian Federation from: 26 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Russian Federation,2021-07-26T00:00:00,2021-08-04T00:00:00,11333.0,Green impact for forestfire in 11333 ha,GWIS,RUS,WF,WF 1001231,0 in the burned area,Russian Federation,26 Jul 2021  - 04 Aug 2021 ,9,11333 ha
"[120.73412365337039, 63.85688181821556]",Forest fires in Russian Federation,Forest fires in Russian Federation,Green Forest fires in Russian Federation from: 24 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Russian Federation,2021-07-24T00:00:00,2021-08-04T00:00:00,47783.0,Green impact for forestfire in 47783 ha,GWIS,RUS,WF,WF 1001239,0 in the burned area,Russian Federation,24 Jul 2021  - 04 Aug 2021 ,11,47783 ha
"[117.84812615205635, 63.59984749943087]",Forest fires in Russian Federation,Forest fires in Russian Federation,Green Forest fires in Russian Federation from: 24 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Russian Federation,2021-07-24T00:00:00,2021-08-04T00:00:00,16791.0,Green impact for forestfire in 16791 ha,GWIS,RUS,WF,WF 1001240,0 in the burned area,Russian Federation,24 Jul 2021  - 04 Aug 2021 ,11,16791 ha
"[-120.66125098150894, 49.20585602366007]",Forest fires in Canada,Forest fires in Canada,Green Forest fires in Canada from: 21 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Canada,2021-07-21T00:00:00,2021-08-04T00:00:00,11912.0,Green impact for forestfire in 11912 ha,GWIS,CAN,WF,WF 1001241,0 in the burned area,Canada,21 Jul 2021  - 04 Aug 2021 ,14,11912 ha
"[106.27879134260553, 60.13171219971581]",Forest fires in Russian Federation,Forest fires in Russian Federation,Green Forest fires in Russian Federation from: 19 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Russian Federation,2021-07-19T00:00:00,2021-08-04T00:00:00,17944.0,Green impact for forestfire in 17944 ha,GWIS,RUS,WF,WF 1001242,0 in the burned area,Russian Federation,19 Jul 2021  - 04 Aug 2021 ,16,17944 ha
"[110.79062487053727, 63.985724543925315]",Forest fires in Russian Federation,Forest fires in Russian Federation,Green Forest fires in Russian Federation from: 19 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Russian Federation,2021-07-19T00:00:00,2021-08-04T00:00:00,14117.0,Green impact for forestfire in 14117 ha,GWIS,RUS,WF,WF 1001243,0 in the burned area,Russian Federation,19 Jul 2021  - 04 Aug 2021 ,16,14117 ha
"[-111.31835575997549, 46.54077551450169]",Forest fires in United States,Forest fires in United States,Green Forest fires in United States from: 19 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,United States,2021-07-19T00:00:00,2021-08-04T00:00:00,10465.0,Green impact for forestfire in 10465 ha,GWIS,USA,WF,WF 1001244,0 in the burned area,United States,19 Jul 2021  - 04 Aug 2021 ,16,10465 ha
"[113.75139229894164, 63.3332753901559]",Forest fires in Russian Federation,Forest fires in Russian Federation,Green Forest fires in Russian Federation from: 24 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Russian Federation,2021-07-24T00:00:00,2021-08-04T00:00:00,6145.0,Green impact for forestfire in 6145 ha,GWIS,RUS,WF,WF 1001235,0 in the burned area,Russian Federation,24 Jul 2021  - 04 Aug 2021 ,11,6145 ha
"[120.11603072259565, 64.84625599647826]",Forest fires in Russian Federation,Forest fires in Russian Federation,Green Forest fires in Russian Federation from: 24 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Russian Federation,2021-07-24T00:00:00,2021-08-04T00:00:00,16991.0,Green impact for forestfire in 16991 ha,GWIS,RUS,WF,WF 1001237,0 in the burned area,Russian Federation,24 Jul 2021  - 04 Aug 2021 ,11,16991 ha
"[27.854107403686903, -13.417828105425583]",Forest fires in Zambia,Forest fires in Zambia,Green Forest fires in Zambia from: 17 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Zambia,2021-07-17T00:00:00,2021-08-04T00:00:00,11211.0,Green impact for forestfire in 11211 ha,GWIS,ZMB,WF,WF 1001405,2222 in the burned area,Zambia,17 Jul 2021  - 04 Aug 2021 ,18,11211 ha
"[31.240432770776707, -1.297586026160542]",Forest fires in Tanzania,Forest fires in Tanzania,Green Forest fires in Tanzania from: 17 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Tanzania,2021-07-17T00:00:00,2021-08-04T00:00:00,9916.0,Green impact for forestfire in 9916 ha,GWIS,TZA,WF,WF 1001408,573 in the burned area,Tanzania,17 Jul 2021  - 04 Aug 2021 ,18,9916 ha
"[-120.16909839852721, 48.65355995401067]",Forest fires in United States,Forest fires in United States,Green Forest fires in United States from: 16 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,United States,2021-07-16T00:00:00,2021-08-04T00:00:00,32195.0,Green impact for forestfire in 32195 ha,GWIS,USA,WF,WF 1001410,23 in the burned area,United States,16 Jul 2021  - 04 Aug 2021 ,19,32195 ha
"[38.52238948283152, -9.458677662705194]",Forest fires in Tanzania,Forest fires in Tanzania,Green Forest fires in Tanzania from: 16 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Tanzania,2021-07-16T00:00:00,2021-08-04T00:00:00,7161.0,Green impact for forestfire in 7161 ha,GWIS,TZA,WF,WF 1001416,0 in the burned area,Tanzania,16 Jul 2021  - 04 Aug 2021 ,19,7161 ha
"[116.42471731839174, 63.97791673573493]",Forest fires in Russian Federation,Forest fires in Russian Federation,Green Forest fires in Russian Federation from: 16 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Russian Federation,2021-07-16T00:00:00,2021-08-04T00:00:00,48149.0,Green impact for forestfire in 48149 ha,GWIS,RUS,WF,WF 1001419,0 in the burned area,Russian Federation,16 Jul 2021  - 04 Aug 2021 ,19,48149 ha
"[18.963433044104903, -4.517179225085816]",Forest fires in The Democratic Republic of Congo,Forest fires in The Democratic Republic of Congo,Green Forest fires in The Democratic Republic of Congo from: 19 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,The Democratic Republic of Congo,2021-07-19T00:00:00,2021-08-04T00:00:00,6517.0,Green impact for forestfire in 6517 ha,GWIS,COD,WF,WF 1001376,1559 in the burned area,The Democratic Republic of Congo,19 Jul 2021  - 04 Aug 2021 ,16,6517 ha
"[-46.39971315277483, -12.181205871665778]",Forest fires in Brazil,Forest fires in Brazil,Green Forest fires in Brazil from: 20 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Brazil,2021-07-20T00:00:00,2021-08-04T00:00:00,8717.0,Green impact for forestfire in 8717 ha,GWIS,BRA,WF,WF 1001366,548 in the burned area,Brazil,20 Jul 2021  - 04 Aug 2021 ,15,8717 ha
"[20.276126921058392, -5.605458759148158]",Forest fires in The Democratic Republic of Congo,Forest fires in The Democratic Republic of Congo,Green Forest fires in The Democratic Republic of Congo from: 20 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,The Democratic Republic of Congo,2021-07-20T00:00:00,2021-08-04T00:00:00,10005.0,Green impact for forestfire in 10005 ha,GWIS,COD,WF,WF 1001364,52 in the burned area,The Democratic Republic of Congo,20 Jul 2021  - 04 Aug 2021 ,15,10005 ha
"[-119.43089600718044, 49.12702113615302]",Forest fires in Canada,Forest fires in Canada,Green Forest fires in Canada from: 20 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Canada,2021-07-20T00:00:00,2021-08-04T00:00:00,17646.0,Green impact for forestfire in 17646 ha,GWIS,CAN,WF,WF 1001371,35 in the burned area,Canada,20 Jul 2021  - 04 Aug 2021 ,15,17646 ha
"[-115.76839502117161, 63.66174336269357]",Forest fires in Canada,Forest fires in Canada,Green Forest fires in Canada from: 21 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Canada,2021-07-21T00:00:00,2021-08-04T00:00:00,7432.0,Green impact for forestfire in 7432 ha,GWIS,CAN,WF,WF 1001359,0 in the burned area,Canada,21 Jul 2021  - 04 Aug 2021 ,14,7432 ha
"[114.07069827336895, 64.39142357160769]",Forest fires in Russian Federation,Forest fires in Russian Federation,Green Forest fires in Russian Federation from: 23 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Russian Federation,2021-07-23T00:00:00,2021-08-04T00:00:00,19297.0,Green impact for forestfire in 19297 ha,GWIS,RUS,WF,WF 1001344,0 in the burned area,Russian Federation,23 Jul 2021  - 04 Aug 2021 ,12,19297 ha
"[23.873438328550733, -4.827706106832675]",Forest fires in The Democratic Republic of Congo,Forest fires in The Democratic Republic of Congo,Green Forest fires in The Democratic Republic of Congo from: 23 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,The Democratic Republic of Congo,2021-07-23T00:00:00,2021-08-04T00:00:00,5055.0,Green impact for forestfire in 5055 ha,GWIS,COD,WF,WF 1001345,0 in the burned area,The Democratic Republic of Congo,23 Jul 2021  - 04 Aug 2021 ,12,5055 ha
"[-54.36093650813588, -13.249578128509047]",Forest fires in Brazil,Forest fires in Brazil,Green Forest fires in Brazil from: 24 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Brazil,2021-07-24T00:00:00,2021-08-04T00:00:00,9145.0,Green impact for forestfire in 9145 ha,GWIS,BRA,WF,WF 1001339,0 in the burned area,Brazil,24 Jul 2021  - 04 Aug 2021 ,11,9145 ha
"[-60.76781475799549, -10.802300822019596]",Forest fires in Brazil,Forest fires in Brazil,Green Forest fires in Brazil from: 23 Jul 2021 to: 04 Aug 2021.,Green,1,GREEN,1.0,Brazil,2021-07-23T00:00:00,2021-08-04T00:00:00,9085.0,Green impact for forestfire in 9085 ha,GWIS,BRA,WF,WF 1001342,0 in the burned area,Brazil,23 Jul 2021  - 04 Aug 2021 ,12,9085 ha
